tenant service,RBAC,Kessel,Export service,Sources,Repository,Language,Uses Clowder for dependency resolution?,Notes,Clowder client lib,Clowder lib version,Clowder v2 dependency-endpoint API adopted?,RBAC — service discovery,Kessel — service discovery,Exports — service discovery,Sources — service discovery,Base URL config + concrete paths,Kessel integrated (code)?,Current auth to core HCC deps,TLS/CA posture,v2 migration gaps / notes,Branch@HEAD scanned
advisor-prod,x,x,,x,https://github.com/RedHatInsights/advisor-backend,Python,Yes (legacy endpoints map),,app-common-python,0.2.9,"Partial — legacy LoadedConfig.endpoints map, not v2 helpers","Clowder endpoints (legacy), env fallback RBAC_URL",Env var KESSEL_URL (not Clowder),n/a,"Clowder endpoints (sources-api), env fallback","Configurable base; paths hardcoded: rbac /api/rbac/v1/access, sources /api/sources/v3.1",Yes — kessel.py Check/StreamedListObjects; kessel-sdk 2.8.0,RBAC: OAuth2 SA-JWT (PSK to JWT) or x-rh-identity; Kessel: OAuth2/SSO,Scheme from LoadedConfig.tlsCAPath; Kessel insecure default true,Move discovery to get_v2_dependency_endpoint; Kessel URL off env to Clowder; exercise OAuth2/TLS Kessel path,main @ 2f04a6f
ccx-data-pipeline-prod,x,,,,TODO https://gitlab.cee.redhat.com/service/app-interface/-/blob/master/data/services/insights/ccx-data-pipeline/app.yml?ref_type=heads,Python,No (Kafka pipeline; no HCC HTTP deps),,app-common-python (transitive via ccx-messaging),0.2.9,"No — Kafka pipeline, no HCC HTTP deps",n/a,n/a,n/a,n/a,"n/a (only Kafka broker via env, hardcoded IP fallback)",No,n/a (Kafka SASL_SSL),Kafka TLS; no HTTP deps,Low relevance; no RBAC/Kessel work. Kafka discovery via env vars in-repo,master @ 2c29db0
cloud-connector-prod,,,,x,https://github.com/RedHatInsights/cloud-connector,Go,No (Clowder for Kafka/DB only),,app-common-go,v1.6.9,No — Clowder for Kafka/DB only,n/a,n/a,n/a,Env var Sources_Base_Url (not Clowder),"Configurable base default hardcoded same-cluster sources .svc; sources /api/sources/v3.1/bulk_create, v3.0/sources",No,Sources: x-rh-identity forwarding,Plaintext http hardcoded (no TLS/CA),Add Sources to clowdapp dependencies + LoadedConfig.Endpoints/BuildURL; add auth for cross-cluster,master @ 691c604
cloudigrade-prod (cloud meter),,,,x,TODO https://gitlab.cee.redhat.com/service/app-interface/-/blob/master/data/services/insights/cloudigrade/app.yml?ref_type=heads,Python (Django),Partial (Sources via endpoints),,app-common-python,^0.2.3 (no lockfile),"Partial — LoadedConfig.endpoints for Sources; hardcodes http, ignores TLS",Declared dep but UNUSED (dead),n/a,n/a,"Clowder endpoints (sources-api), env fallback SOURCES_API_BASE_URL",Configurable base; sources /internal/v1.0 + /api/sources/v3.0,No,Sources: PSK (x-rh-sources-psk) + identity,Hardcoded http plaintext to Sources; no TLS/CA,Add TLS/CA for Sources; drop or wire unused rbac dep; no Kessel,master @ fba0efe
compliance-prod,x,x,,,https://github.com/RedHatInsights/compliance-backend,Ruby (Rails),Yes (RBAC via dependency endpoints),,clowder-common-ruby,0.5.7,Yes — dependency endpoints via gem (Settings.endpoints),Clowder dependency endpoint (Settings.endpoints.rbac),Env var KESSEL_URL (not Clowder; not in clowdapp deps),n/a,n/a,Configurable base; rbac /api/rbac/v1/access,Yes — kessel-sdk Ruby 1.11.0 (RBAC v2); OAuth2 kwarg fix confirmed,RBAC v1: x-rh-identity; Kessel: OAuth2/SSO,RBAC scheme Clowder-derived; Kessel insecure default true,Kessel not Clowder-discovered + absent from deps; secure-client OAuth2 fix present (branch); flip KESSEL_INSECURE=false,kessel-fix-secure-client-oauth-kwarg @ 6be012f1
config-manager-prod,x,x,,,https://github.com/RedHatInsights/config-manager,Go,Partial (RBAC; Kessel discovery commented out),EOL?,app-common-go,v1.6.8,Partial — RBAC via LoadedConfig.Endpoints; Kessel discovery commented out (RHCLOUD-40314),"Clowder endpoints (rbac), env fallback CM_RBAC_URL",Env var CM_KESSEL_URL (Clowder block commented),n/a,n/a,Configurable base; rbac /api/rbac/v2/workspaces; scheme http hardcoded,Yes — inventory-api v1beta2 Check/CheckForUpdate; OIDC auth,RBAC: OIDC SA token + x-rh-rbac-org-id; Kessel: OIDC,RBAC plaintext http; Kessel insecure default true,Re-enable Clowder endpoint lookup for kessel-inventory-api; stop hardcoding http for RBAC,master @ f3549c6
content-sources-prod,x,x,,,https://github.com/content-services/content-sources-backend,Go,No (deps via env vars; Clowder infra only),,app-common-go,v1.6.9,No — Clowder infra only; deps via env vars,Env var CLIENTS_RBAC_BASE_URL,Env var CLIENTS_KESSEL_SERVER,n/a,n/a,Configurable base default hardcoded http://rbac-service:8000/api/rbac/v1 (client appends /access),Yes — kessel-sdk-go 1.11.0 Check; feature-flagged (default off),RBAC: x-rh-identity; Kessel: OAuth2 client-credentials,RBAC plaintext http default; Kessel insecure unless OAuth,Resolve rbac/kessel from LoadedConfig dependency endpoints; adopt TLS by default,main @ aeeab4a
hccm-prod (cost management),x,,,x,TODO https://gitlab.cee.redhat.com/service/app-interface/-/blob/master/data/services/insights/hccm/app.yml?ref_type=heads,Python (Django),Yes (RBAC + Sources via DependencyEndpoints),,app-common-python,>=0.2.3,"Yes — DependencyEndpoints; declared dependencies [ingress, rbac, sources-api]","Clowder DependencyEndpoints (rbac), env fallback",n/a (no Kessel),n/a,"Clowder DependencyEndpoints (sources-api), env fallback",Configurable base; rbac v1 /r/insights/platform/rbac/v1/access; sources /api/sources/v1.0 + /internal/v1.0,No — RBAC v1 only,RBAC: x-rh-identity; Sources: PSK + identity,Plaintext http; no TLS/CA verify for RBAC/Sources,No Kessel (RBAC v1 only); add TLS/CA; add OAuth/SA,main @ 0e442c2
host-inventory-prod,x,x,x,,https://github.com/RedHatInsights/insights-host-inventory/,Python,Yes — v2 dependency endpoints (PILOT),,app-common-python,0.3.0,YES — reference impl: get_v2_dependency_endpoint / get_v2_private_dependency_endpoint,"Clowder v2 endpoint get_v2_dependency_endpoint(rbac, service)","Clowder v2 endpoint get_v2_dependency_endpoint(kessel-inventory, api) [optional, null-guarded] + fallback","Clowder v2 PRIVATE endpoint get_v2_private_dependency_endpoint(export-service, service)",n/a,"Configurable base (v2 .uri); rbac /api/rbac/v1|v2, export /app/export/v1/...",Yes — lib/kessel.py; endpoint-driven auth/TLS,"Endpoint-driven: OAuth2/SSO workload identity when .authenticated, else PSK/identity (single choke-point)","Endpoint-driven: scheme from .uri, per-endpoint .ca_certificate, .authenticated flag",REFERENCE PATTERN for all teams. Note kessel port quirk (h2cTargetPort 9000 to KESSEL_INVENTORY_API_PORT override),kessel-inventory-clowder-v2 @ 8c72daa6
malware-detection-prod,x,x,,,https://gitlab.cee.redhat.com/insights-platform/malware-detection-backend,Node/TS,Partial (RBAC via manual cdappconfig parse),,none (manual cdappconfig.json parse; no app-common-js),—,Partial — reads config.endpoints for RBAC via manual parse; TLS-aware,Clowder endpoints (manual parse) to RBAC_URL,Env var KESSEL_URL (not Clowder; not in deps),n/a,n/a,Configurable base; rbac /api/rbac/v1/access,Yes — kessel.ts streamedListObjects; @project-kessel/kessel-sdk 3.0.2,RBAC: x-rh-identity; Kessel: OAuth2 client-credentials,Scheme from tlsCAPath; Kessel insecure path,Adopt app-common-js; source Kessel URL from Clowder endpoints; add Kessel to clowdapp deps. Internal GitLab repo,master @ a4020d8
